Roll no,test preparation ,gender,parental level of education,lunch,Section,practical score,viva score,exam score
EXA012953,none,female,some high school,standard,Section A,82,49,93
EXA012954,none,female,some college,free/reduced,Section E,46,72,79
EXA012955,completed,male,associate's degree,standard,Section D,80,69,81
EXA012956,completed,male,associate's degree,free/reduced,Section C,57,77,75
EXA012957,none,male,master's degree,standard,Section E,74,75,67
EXA012958,completed,male,associate's degree,free/reduced,Section C,53,72,80
EXA012959,completed,male,associate's degree,standard,Section C,76,68,88
EXA012960,none,male,high school,standard,Section B,87,45,80
EXA012961,none,male,some college,standard,Section D,80,56,97
EXA012962,none,female,high school,standard,Section B,65,71,75
EXA012963,none,male,bachelor's degree,standard,Section C,66,73,60
EXA012964,completed,male,associate's degree,standard,Section A,67,70,60
EXA012965,completed,male,some college,standard,Section C,70,84,55
EXA012966,none,female,high school,standard,Section E,89,63,51
EXA012967,completed,male,some high school,standard,Section D,99,72,63
EXA012968,completed,female,high school,free/reduced,Section E,74,89,83
EXA012969,completed,female,master's degree,free/reduced,Section E,58,85,60
EXA012970,none,male,some high school,standard,Section D,70,68,88
EXA012971,completed,female,some college,standard,Section B,80,75,77
EXA012972,none,male,high school,standard,Section C,90,98,66
EXA012973,none,female,some college,standard,Section C,80,81,74
EXA012974,none,female,master's degree,standard,Section D,68,40,61
EXA012975,completed,female,some high school,standard,Section E,69,75,64
EXA012976,none,female,bachelor's degree,standard,Section C,32,82,80
EXA012977,none,male,some high school,standard,Section C,82,65,78
EXA012978,completed,male,some high school,standard,Section D,57,81,60
EXA012979,completed,male,some high school,free/reduced,Section C,69,63,81
EXA012980,none,female,some college,free/reduced,Section D,68,57,72
EXA012981,none,female,associate's degree,standard,Section C,74,66,71
EXA012982,none,female,high school,free/reduced,Section B,89,63,82
EXA012983,none,female,associate's degree,free/reduced,Section B,46,89,80
EXA012984,none,male,high school,free/reduced,Section C,76,61,67
EXA012985,completed,female,some high school,free/reduced,Section B,86,98,52
EXA012986,none,female,high school,free/reduced,Section C,69,94,80
EXA012987,none,male,associate's degree,standard,Section D,52,97,51
EXA012988,completed,male,some high school,standard,Section C,63,61,81
EXA012989,completed,female,some college,free/reduced,Section D,96,76,74
EXA012990,none,female,some high school,standard,Section C,80,91,100
EXA012991,completed,female,some high school,free/reduced,Section D,59,81,79
EXA012992,completed,male,some college,standard,Section E,80,95,80
EXA012993,none,male,bachelor's degree,standard,Section B,65,56,76
EXA012994,completed,male,associate's degree,free/reduced,Section B,74,67,78
EXA012995,none,male,some college,standard,Section C,90,66,47
EXA012996,completed,male,associate's degree,standard,Section A,69,59,57
EXA012997,none,male,high school,standard,Section B,69,56,55
EXA012998,none,male,associate's degree,standard,Section C,62,57,57
EXA012999,completed,male,master's degree,free/reduced,Section D,67,77,50
EXA013000,none,female,some college,standard,Section A,89,90,53
EXA013001,completed,male,some college,standard,Section C,79,77,60
EXA013002,none,female,some college,standard,Section D,67,78,74
EXA013003,none,male,master's degree,standard,Section D,82,66,77
EXA013004,completed,female,some high school,standard,Section D,63,55,82
EXA013005,none,male,some college,standard,Section E,71,90,69
EXA013006,none,male,master's degree,standard,Section B,55,61,74
EXA013007,none,male,bachelor's degree,standard,Section C,61,81,38
EXA013008,completed,male,associate's degree,free/reduced,Section C,35,68,59
EXA013009,none,female,bachelor's degree,standard,Section C,75,92,74
EXA013010,none,male,some college,standard,Section C,73,71,68
EXA013011,none,male,some college,standard,Section D,56,62,70
EXA013012,none,female,some college,standard,Section C,80,48,87
EXA013013,completed,female,associate's degree,standard,Section C,83,92,57
EXA013014,completed,female,some college,standard,Section D,64,60,67
EXA013015,none,female,associate's degree,standard,Section B,23,25,86
EXA013016,completed,female,high school,free/reduced,Section B,41,75,87
EXA013017,none,male,some college,free/reduced,Section C,61,62,70
EXA013018,none,male,high school,standard,Section D,63,80,73
EXA013019,none,male,bachelor's degree,standard,Section C,84,88,94
EXA013020,none,male,associate's degree,standard,Section D,55,71,85
EXA013021,none,female,some college,free/reduced,Section C,85,68,44
EXA013022,none,female,high school,free/reduced,Section C,65,78,78
EXA013023,none,female,some high school,standard,Section D,88,82,80
EXA013024,completed,female,some high school,standard,Section B,91,63,69
EXA013025,none,female,some high school,standard,Section B,51,77,87
EXA013026,completed,male,associate's degree,free/reduced,Section C,73,56,55
EXA013027,none,male,some college,standard,Section E,73,70,53
EXA013028,completed,female,some high school,free/reduced,Section D,100,69,66
EXA013029,none,female,bachelor's degree,standard,Section B,48,79,54
EXA013030,completed,female,some college,standard,Section C,98,77,86
EXA013031,completed,female,master's degree,standard,Section C,68,81,59
EXA013032,completed,female,associate's degree,standard,Section B,64,75,99
EXA013033,none,female,bachelor's degree,standard,Section E,72,64,94
EXA013034,none,female,high school,standard,Section E,63,66,92
EXA013035,completed,male,high school,free/reduced,Section C,43,88,57
EXA013036,none,female,high school,free/reduced,Section B,80,62,67
EXA013037,none,female,bachelor's degree,standard,Section B,71,69,85
EXA013038,completed,male,high school,standard,Section D,91,79,77
EXA013039,none,male,master's degree,standard,Section D,68,60,94
EXA013040,completed,female,associate's degree,free/reduced,Section D,73,73,53
EXA013041,none,female,high school,standard,Section B,75,45,67
EXA013042,completed,female,bachelor's degree,free/reduced,Section D,83,80,58
EXA013043,none,female,some college,standard,Section E,88,57,59
EXA013044,completed,male,associate's degree,standard,Section B,59,64,56
EXA013045,completed,female,some high school,standard,Section D,74,78,57
EXA013046,none,female,associate's degree,standard,Section C,43,82,73
EXA013047,none,female,some college,free/reduced,Section C,76,50,88
EXA013048,none,female,associate's degree,free/reduced,Section C,74,69,77
EXA013049,none,female,some college,standard,Section C,69,50,90
EXA013050,completed,male,some high school,free/reduced,Section D,62,57,70
EXA013051,none,male,master's degree,standard,Section D,61,84,58
EXA013052,completed,female,master's degree,standard,Section C,88,68,82
EXA013053,none,male,some college,standard,Section C,64,79,57
EXA013054,none,female,master's degree,standard,Section E,65,72,80
EXA013055,none,female,master's degree,standard,Section E,73,61,68
EXA013056,none,female,some college,free/reduced,Section D,50,59,93
EXA013057,none,male,high school,standard,Section C,63,88,70
EXA013058,none,male,some college,standard,Section C,98,66,68
EXA013059,none,female,high school,standard,Section D,90,88,49
EXA013060,none,male,high school,standard,Section C,64,84,88
EXA013061,none,male,bachelor's degree,standard,Section E,38,72,57
EXA013062,none,female,associate's degree,standard,Section D,84,56,15
EXA013063,completed,female,bachelor's degree,standard,Section A,81,39,76
EXA013064,none,male,some high school,standard,Section D,82,84,58
EXA013065,none,female,associate's degree,standard,Section E,64,40,83
EXA013066,none,male,bachelor's degree,standard,Section C,55,75,90
EXA013067,none,female,master's degree,standard,Section C,59,78,76
EXA013068,completed,male,high school,standard,Section D,83,56,72
EXA013069,none,male,master's degree,standard,Section B,76,63,82
EXA013070,none,female,high school,standard,Section C,83,68,93
EXA013071,none,male,master's degree,standard,Section A,69,63,66
EXA013072,none,male,some college,standard,Section E,43,70,77
EXA013073,none,female,associate's degree,free/reduced,Section B,52,73,47
EXA013074,completed,female,associate's degree,standard,Section B,56,54,72
EXA013075,completed,male,associate's degree,free/reduced,Section C,47,72,70
EXA013076,completed,male,some college,standard,Section B,71,70,73
EXA013077,none,female,associate's degree,standard,Section D,66,53,81
EXA013078,none,male,associate's degree,standard,Section E,81,48,80
EXA013079,none,male,associate's degree,standard,Section C,85,93,72
EXA013080,completed,male,high school,standard,Section D,76,56,66
EXA013081,completed,male,associate's degree,free/reduced,Section B,50,65,73
EXA013082,none,male,some college,standard,Section A,76,53,85
EXA013083,none,male,bachelor's degree,standard,Section E,65,49,61
EXA013084,none,female,associate's degree,standard,Section C,59,54,73
EXA013085,none,female,some high school,free/reduced,Section E,84,56,68
EXA013086,completed,male,high school,standard,Section D,85,73,55
EXA013087,completed,female,bachelor's degree,free/reduced,Section D,61,77,72
EXA013088,completed,female,some college,standard,Section B,73,77,36
EXA013089,none,male,some college,free/reduced,Section D,82,85,73
EXA013090,completed,female,some high school,standard,Section A,75,82,53
EXA013091,none,male,master's degree,standard,Section E,91,61,66
EXA013092,none,male,some high school,standard,Section D,67,68,81
EXA013093,none,female,master's degree,standard,Section D,62,62,72
EXA013094,none,female,some high school,standard,Section B,61,73,41
EXA013095,none,male,high school,standard,Section E,66,82,68
EXA013096,completed,female,associate's degree,free/reduced,Section C,59,64,44
EXA013097,none,male,associate's degree,standard,Section C,88,77,60
EXA013098,none,female,high school,standard,Section B,67,45,83
EXA013099,none,female,associate's degree,standard,Section B,91,95,66
EXA013100,none,male,master's degree,free/reduced,Section A,87,79,79
EXA013101,completed,female,high school,standard,Section A,83,54,75
EXA013102,completed,male,master's degree,free/reduced,Section B,70,74,63
EXA013103,none,female,master's degree,free/reduced,Section D,83,58,56
EXA013104,none,female,high school,standard,Section C,49,43,84
EXA013105,none,male,some college,standard,Section C,65,57,62
EXA013106,none,female,some college,standard,Section D,50,46,75
EXA013107,none,female,bachelor's degree,standard,Section C,62,71,77
EXA013108,none,male,bachelor's degree,standard,Section C,56,59,65
EXA013109,completed,female,some high school,standard,Section A,44,69,59
EXA013110,none,male,some high school,standard,Section B,63,91,37
EXA013111,completed,male,some high school,free/reduced,Section D,72,45,86
EXA013112,none,female,high school,free/reduced,Section D,64,71,36
EXA013113,none,male,associate's degree,standard,Section D,61,69,78
EXA013114,completed,male,some college,standard,Section C,82,53,78
EXA013115,none,female,master's degree,standard,Section B,57,68,51
EXA013116,completed,female,associate's degree,free/reduced,Section C,43,71,63
EXA013117,completed,female,some college,standard,Section E,69,86,66
EXA013118,completed,female,some college,free/reduced,Section A,62,70,67
EXA013119,none,male,some college,free/reduced,Section D,60,63,71
EXA013120,none,female,high school,standard,Section B,81,56,69
EXA013121,none,male,high school,standard,Section E,68,45,44
EXA013122,none,female,associate's degree,standard,Section B,65,65,72
EXA013123,none,female,associate's degree,standard,Section B,59,68,72
EXA013124,none,male,some college,standard,Section C,81,57,43
EXA013125,none,male,master's degree,free/reduced,Section E,84,61,42
EXA013126,none,male,high school,free/reduced,Section C,56,96,100
EXA013127,completed,male,some high school,standard,Section C,71,87,54
EXA013128,none,male,master's degree,free/reduced,Section E,93,60,56
EXA013129,completed,female,some high school,free/reduced,Section E,77,53,51
EXA013130,none,female,some college,standard,Section E,50,66,50
EXA013131,none,male,master's degree,standard,Section B,75,86,47
EXA013132,none,male,some high school,standard,Section A,64,59,47
EXA013133,completed,male,associate's degree,free/reduced,Section D,77,55,74
EXA013134,none,female,high school,standard,Section D,64,68,75
EXA013135,completed,male,some high school,free/reduced,Section A,71,68,80
EXA013136,none,female,high school,standard,Section D,58,67,99
EXA013137,none,female,high school,standard,Section E,47,77,83
EXA013138,none,male,master's degree,standard,Section C,57,51,61
EXA013139,completed,female,high school,free/reduced,Section E,82,76,74
EXA013140,completed,female,master's degree,free/reduced,Section C,53,57,54
EXA013141,none,female,some high school,standard,Section E,89,72,70
EXA013142,none,female,some college,standard,Section D,89,78,82
EXA013143,none,male,associate's degree,standard,Section B,75,88,54
EXA013144,completed,male,some college,standard,Section D,62,73,78
EXA013145,none,female,some high school,standard,Section E,63,75,46
EXA013146,none,male,high school,free/reduced,Section C,100,85,93
EXA013147,none,female,some high school,standard,Section C,62,68,73
EXA013148,completed,male,high school,free/reduced,Section B,75,76,52
EXA013149,none,female,associate's degree,free/reduced,Section E,51,80,80
EXA013150,none,female,some college,standard,Section B,74,86,63
EXA013151,none,male,bachelor's degree,standard,Section C,66,57,40
EXA013152,completed,male,some college,free/reduced,Section D,52,62,60
EXA013153,none,female,associate's degree,standard,Section C,69,83,44
EXA013154,completed,male,bachelor's degree,standard,Section B,46,78,62
EXA013155,completed,female,some high school,free/reduced,Section B,74,44,55
EXA013156,completed,male,some college,free/reduced,Section D,100,96,62
EXA013157,none,male,some high school,standard,Section B,83,47,98
EXA013158,completed,male,bachelor's degree,standard,Section B,82,57,41
EXA013159,none,female,some high school,free/reduced,Section D,58,81,70
EXA013160,none,female,some college,standard,Section D,59,94,55
EXA013161,none,female,high school,free/reduced,Section B,77,60,48
EXA013162,completed,male,high school,standard,Section C,61,57,67
EXA013163,completed,male,high school,standard,Section C,85,27,76
EXA013164,completed,female,associate's degree,free/reduced,Section C,59,79,80
EXA013165,none,male,high school,standard,Section C,71,100,63
EXA013166,completed,male,high school,standard,Section A,52,75,63
EXA013167,none,female,high school,standard,Section C,62,89,53
EXA013168,none,female,some college,standard,Section C,47,69,44
EXA013169,none,male,high school,free/reduced,Section C,96,85,62
EXA013170,completed,male,bachelor's degree,standard,Section B,48,78,67
EXA013171,completed,female,bachelor's degree,standard,Section B,20,66,63
EXA013172,none,male,bachelor's degree,standard,Section D,70,64,63
EXA013173,none,male,some college,standard,Section B,59,82,99
EXA013174,none,female,high school,free/reduced,Section B,80,75,87
EXA013175,completed,male,master's degree,free/reduced,Section C,83,61,61
EXA013176,completed,female,associate's degree,standard,Section B,75,100,58
EXA013177,none,male,some college,standard,Section C,73,62,64
EXA013178,none,male,some high school,standard,Section C,78,66,83
EXA013179,completed,female,some high school,free/reduced,Section D,94,55,53
EXA013180,none,male,some college,free/reduced,Section B,46,64,52
EXA013181,none,female,associate's degree,standard,Section A,77,61,69
EXA013182,none,female,some college,standard,Section C,63,71,70
EXA013183,none,female,high school,free/reduced,Section C,64,69,64
EXA013184,none,female,some high school,standard,Section D,60,76,67
EXA013185,none,female,master's degree,free/reduced,Section D,74,73,43
EXA013186,none,female,high school,free/reduced,Section D,67,78,64
EXA013187,completed,female,some college,free/reduced,Section C,78,62,49
EXA013188,none,female,some college,standard,Section C,88,48,72
EXA013189,completed,female,some college,free/reduced,Section D,52,70,76
EXA013190,none,female,high school,free/reduced,Section E,88,77,87
EXA013191,none,male,associate's degree,standard,Section C,78,89,76
EXA013192,none,male,associate's degree,standard,Section D,55,48,79
EXA013193,none,female,high school,standard,Section B,71,73,80
EXA013194,none,female,master's degree,standard,Section D,75,67,68
EXA013195,completed,female,master's degree,standard,Section C,62,84,74
EXA013196,none,male,associate's degree,standard,Section A,66,81,82
EXA013197,none,female,associate's degree,free/reduced,Section A,39,66,82
EXA013198,none,female,bachelor's degree,free/reduced,Section C,85,80,58
EXA013199,none,male,some high school,standard,Section C,46,79,65
EXA013200,none,female,high school,standard,Section C,57,78,77
EXA013201,none,female,high school,free/reduced,Section B,65,51,83
EXA013202,completed,female,some college,standard,Section B,86,72,43
EXA013203,completed,male,some college,standard,Section E,59,76,89
EXA013204,none,male,some college,standard,Section A,49,74,55
EXA013205,none,male,bachelor's degree,free/reduced,Section B,51,48,60
EXA013206,none,female,bachelor's degree,standard,Section C,53,68,75
EXA013207,none,female,master's degree,standard,Section A,82,65,93
EXA013208,none,male,high school,standard,Section C,51,69,52
EXA013209,none,female,associate's degree,standard,Section D,74,77,62
EXA013210,none,female,associate's degree,standard,Section E,73,75,19
EXA013211,none,female,bachelor's degree,free/reduced,Section C,42,76,84
EXA013212,none,male,master's degree,standard,Section D,41,79,100
EXA013213,none,male,bachelor's degree,free/reduced,Section C,84,65,73
EXA013214,completed,female,some college,free/reduced,Section B,64,67,96
EXA013215,none,male,high school,standard,Section D,74,68,60
EXA013216,none,female,some high school,standard,Section B,91,66,81
EXA013217,completed,female,high school,standard,Section C,67,97,75
EXA013218,none,female,associate's degree,standard,Section C,54,66,69
EXA013219,none,female,some high school,standard,Section D,44,68,64
EXA013220,completed,female,bachelor's degree,standard,Section B,65,49,86
EXA013221,none,female,some high school,standard,Section A,37,50,74
EXA013222,completed,male,high school,free/reduced,Section E,58,84,64
EXA013223,completed,female,bachelor's degree,free/reduced,Section C,69,65,100
EXA013224,none,female,high school,free/reduced,Section B,64,39,63
EXA013225,none,female,high school,standard,Section A,70,95,59
EXA013226,completed,male,bachelor's degree,standard,Section B,55,70,61
EXA013227,none,female,some college,standard,Section C,45,63,64
EXA013228,completed,male,high school,standard,Section D,80,68,57
EXA013229,none,male,some high school,free/reduced,Section E,77,42,87
EXA013230,completed,female,high school,standard,Section D,57,72,70
EXA013231,none,male,master's degree,standard,Section C,67,50,76
EXA013232,none,male,some high school,standard,Section A,68,67,69
EXA013233,none,female,some college,standard,Section D,49,58,68
EXA013234,none,female,high school,free/reduced,Section D,42,60,57
EXA013235,none,male,some college,free/reduced,Section A,96,86,53
EXA013236,none,female,some college,standard,Section C,55,56,72
EXA013237,none,male,some high school,standard,Section C,70,76,70
EXA013238,completed,male,some high school,standard,Section C,51,68,83
EXA013239,none,female,some high school,standard,Section B,27,45,54
EXA013240,completed,male,associate's degree,free/reduced,Section C,60,64,77
EXA013241,completed,female,some high school,standard,Section D,44,79,59
EXA013242,none,male,some college,free/reduced,Section B,63,84,87
EXA013243,none,female,associate's degree,standard,Section C,72,90,70
EXA013244,none,male,associate's degree,free/reduced,Section D,82,69,68
EXA013245,none,male,some college,free/reduced,Section D,82,70,78
EXA013246,completed,female,high school,standard,Section C,70,82,75
EXA013247,none,female,some college,standard,Section D,76,50,74
EXA013248,none,female,some high school,standard,Section E,62,77,51
EXA013249,none,male,associate's degree,standard,Section D,58,73,66
EXA013250,none,male,high school,standard,Section C,61,64,71
EXA013251,none,male,some high school,free/reduced,Section C,88,70,73
EXA013252,none,male,some college,free/reduced,Section D,61,85,33
EXA013253,none,female,high school,free/reduced,Section B,88,87,71
EXA013254,none,female,associate's degree,free/reduced,Section B,57,66,70
EXA013255,completed,female,bachelor's degree,free/reduced,Section C,92,47,68
EXA013256,completed,female,high school,free/reduced,Section B,80,68,79
EXA013257,completed,female,bachelor's degree,free/reduced,Section D,62,80,73
EXA013258,none,female,associate's degree,standard,Section B,71,89,82
EXA013259,none,male,associate's degree,standard,Section B,54,96,76
EXA013260,none,female,some college,standard,Section D,43,56,58
EXA013261,completed,female,high school,free/reduced,Section B,51,59,67
EXA013262,none,male,associate's degree,standard,Section D,57,68,68
EXA013263,none,male,some college,standard,Section B,62,89,71
EXA013264,none,male,some college,standard,Section B,48,52,85
EXA013265,none,male,bachelor's degree,standard,Section B,61,86,64
EXA013266,none,male,some college,free/reduced,Section B,94,69,66
EXA013267,none,female,associate's degree,standard,Section C,44,30,43
EXA013268,none,male,some college,standard,Section A,56,53,37
EXA013269,none,female,some high school,standard,Section B,68,78,88
EXA013270,none,male,some college,standard,Section C,61,79,67
EXA013271,none,male,some college,free/reduced,Section B,49,67,33
EXA013272,completed,male,high school,standard,Section A,71,70,93
EXA013273,none,male,associate's degree,standard,Section D,78,93,62
EXA013274,completed,female,some college,standard,Section C,74,90,65
EXA013275,none,female,some high school,standard,Section B,66,88,67
EXA013276,completed,female,master's degree,standard,Section B,61,68,35
EXA013277,completed,male,some college,standard,Section C,59,57,79
EXA013278,none,female,master's degree,standard,Section B,49,72,47
EXA013279,none,female,high school,standard,Section C,61,33,74
EXA013280,completed,male,high school,standard,Section E,54,67,51
EXA013281,none,male,some high school,standard,Section E,45,58,57
EXA013282,completed,male,some college,free/reduced,Section B,81,62,89
EXA013283,completed,male,bachelor's degree,standard,Section C,71,89,57
EXA013284,none,female,some high school,free/reduced,Section B,67,65,73
EXA013285,completed,female,bachelor's degree,free/reduced,Section C,56,94,70
EXA013286,none,female,some high school,free/reduced,Section C,60,64,44
EXA013287,none,male,some college,standard,Section E,95,97,59
EXA013288,none,female,high school,standard,Section D,60,57,72
EXA013289,completed,male,some high school,standard,Section D,60,55,78
EXA013290,completed,female,high school,free/reduced,Section C,82,87,90
EXA013291,none,male,high school,standard,Section E,78,87,71
EXA013292,none,female,high school,free/reduced,Section B,57,92,71
EXA013293,none,male,some college,free/reduced,Section C,72,49,81
EXA013294,none,male,high school,standard,Section C,37,49,41
EXA013295,completed,female,bachelor's degree,standard,Section C,72,58,78
EXA013296,completed,male,bachelor's degree,standard,Section D,52,73,69
EXA013297,completed,female,high school,standard,Section A,80,53,55
EXA013298,completed,female,associate's degree,free/reduced,Section C,89,80,73
EXA013299,none,male,bachelor's degree,free/reduced,Section E,84,61,94
EXA013300,none,female,associate's degree,standard,Section A,67,32,83
EXA013301,none,female,some college,standard,Section C,59,92,63
EXA013302,completed,male,high school,standard,Section C,95,89,32
EXA013303,none,female,some high school,standard,Section C,71,75,69
EXA013304,completed,female,bachelor's degree,free/reduced,Section E,72,55,82
EXA013305,completed,male,some college,free/reduced,Section C,83,85,96
EXA013306,none,female,bachelor's degree,free/reduced,Section E,94,62,100
EXA013307,completed,female,high school,standard,Section D,58,60,63
EXA013308,none,female,some college,standard,Section D,75,71,52
EXA013309,none,male,some college,standard,Section E,65,65,62
EXA013310,none,female,associate's degree,free/reduced,Section C,68,50,87
EXA013311,none,female,some college,free/reduced,Section C,34,81,51
EXA013312,none,male,bachelor's degree,free/reduced,Section C,97,90,84
EXA013313,completed,female,some college,free/reduced,Section D,44,65,65
EXA013314,none,male,bachelor's degree,free/reduced,Section C,60,90,26
EXA013315,none,female,associate's degree,free/reduced,Section B,66,76,47
EXA013316,none,female,associate's degree,free/reduced,Section C,96,83,74
EXA013317,none,male,some college,standard,Section E,39,80,65
EXA013318,none,male,some high school,standard,Section E,56,75,73
EXA013319,none,female,some college,free/reduced,Section D,31,73,75
EXA013320,none,female,bachelor's degree,standard,Section C,74,59,94
EXA013321,none,male,some college,free/reduced,Section C,100,63,89
EXA013322,none,male,high school,standard,Section C,68,56,81
EXA013323,completed,male,some high school,standard,Section D,79,83,75
EXA013324,none,female,master's degree,standard,Section D,62,100,59
EXA013325,none,male,associate's degree,standard,Section D,72,38,70
EXA013326,completed,male,some high school,standard,Section D,66,67,32
EXA013327,none,female,high school,standard,Section C,64,84,64
EXA013328,completed,male,some college,standard,Section D,62,72,54
EXA013329,none,male,high school,standard,Section E,68,68,61
EXA013330,none,male,high school,standard,Section C,70,75,87
EXA013331,completed,female,high school,standard,Section D,63,81,69
EXA013332,none,female,associate's degree,standard,Section D,91,86,91
EXA013333,none,female,high school,standard,Section A,58,44,63
EXA013334,none,male,some college,standard,Section C,75,65,91
EXA013335,none,male,some college,standard,Section C,44,90,61
EXA013336,none,male,some college,free/reduced,Section B,68,79,46
EXA013337,completed,female,bachelor's degree,free/reduced,Section D,65,50,90
EXA013338,none,male,bachelor's degree,standard,Section D,66,53,89
EXA013339,completed,male,some high school,standard,Section C,73,41,97
EXA013340,completed,male,some college,standard,Section E,67,46,47
EXA013341,none,female,bachelor's degree,free/reduced,Section A,66,65,43
EXA013342,completed,female,associate's degree,free/reduced,Section C,81,66,56
EXA013343,none,male,some high school,standard,Section C,77,60,65
EXA013344,none,male,bachelor's degree,standard,Section D,43,74,54
EXA013345,completed,male,high school,standard,Section C,58,91,75
EXA013346,none,male,associate's degree,standard,Section E,65,65,57
EXA013347,none,female,bachelor's degree,standard,Section C,92,57,28
EXA013348,none,female,high school,standard,Section A,56,40,93
EXA013349,none,female,high school,standard,Section D,65,56,89
EXA013350,completed,male,some college,standard,Section B,72,65,81
EXA013351,none,male,high school,free/reduced,Section A,100,98,51
EXA013352,none,male,high school,standard,Section B,69,100,84
EXA013353,completed,female,associate's degree,standard,Section C,70,100,66
EXA013354,completed,female,associate's degree,standard,Section B,90,59,55
EXA013355,none,male,some high school,standard,Section B,90,66,70
EXA013356,completed,female,high school,standard,Section A,63,75,56
EXA013357,none,male,master's degree,free/reduced,Section E,40,71,61
EXA013358,none,female,some high school,free/reduced,Section D,64,94,87
EXA013359,none,female,high school,standard,Section B,90,49,97
EXA013360,none,male,associate's degree,standard,Section C,76,74,62
EXA013361,completed,female,associate's degree,free/reduced,Section D,42,66,90
EXA013362,completed,male,some high school,free/reduced,Section D,45,73,78
EXA013363,completed,female,some high school,free/reduced,Section C,76,74,79
EXA013364,none,male,associate's degree,free/reduced,Section C,63,57,76
EXA013365,none,male,some college,free/reduced,Section C,84,77,84
EXA013366,none,female,some high school,standard,Section B,62,59,64
EXA013367,none,male,master's degree,standard,Section C,69,89,55
EXA013368,none,male,bachelor's degree,standard,Section D,77,59,67
EXA013369,none,male,master's degree,free/reduced,Section B,63,70,53
EXA013370,none,female,some high school,free/reduced,Section C,72,40,86
EXA013371,none,female,high school,standard,Section C,75,69,96
EXA013372,none,male,bachelor's degree,free/reduced,Section E,61,69,46
EXA013373,none,male,high school,free/reduced,Section E,79,39,68
EXA013374,none,female,associate's degree,standard,Section D,53,56,81
EXA013375,completed,female,high school,free/reduced,Section E,77,70,62
EXA013376,none,female,some high school,free/reduced,Section A,44,63,65
EXA013377,none,female,master's degree,standard,Section C,44,66,77
EXA013378,none,female,high school,free/reduced,Section C,71,49,72
EXA013379,completed,female,some high school,standard,Section D,60,56,76
EXA013380,none,male,associate's degree,standard,Section D,49,97,44
EXA013381,none,male,some college,standard,Section A,82,56,60
EXA013382,none,female,associate's degree,standard,Section D,68,61,93
EXA013383,completed,female,associate's degree,standard,Section D,58,77,75
EXA013384,completed,female,associate's degree,standard,Section D,65,74,47
EXA013385,none,female,some high school,standard,Section D,50,61,51
EXA013386,none,male,some high school,free/reduced,Section B,73,66,40
EXA013387,completed,male,associate's degree,standard,Section D,40,92,50
EXA013388,none,female,some high school,free/reduced,Section B,60,55,67
EXA013389,completed,female,associate's degree,standard,Section E,57,71,75
EXA013390,completed,male,bachelor's degree,standard,Section D,57,49,63
EXA013391,completed,male,some college,standard,Section C,83,62,68
EXA013392,none,male,associate's degree,free/reduced,Section B,68,77,81
EXA013393,none,male,some college,standard,Section C,74,77,65
EXA013394,completed,male,some high school,standard,Section C,76,75,55
EXA013395,none,female,high school,standard,Section B,38,68,45
EXA013396,none,female,some high school,standard,Section C,63,79,58
EXA013397,none,female,associate's degree,standard,Section A,87,84,62
EXA013398,none,female,high school,standard,Section C,81,58,99
EXA013399,none,male,high school,free/reduced,Section D,84,67,99
EXA013400,none,male,high school,standard,Section D,68,71,100
EXA013401,none,male,associate's degree,free/reduced,Section B,57,67,58
EXA013402,none,male,bachelor's degree,standard,Section C,75,44,68
EXA013403,completed,male,some high school,free/reduced,Section D,39,66,79
EXA013404,none,female,some college,standard,Section C,54,50,68
EXA013405,completed,male,bachelor's degree,standard,Section E,71,86,93
EXA013406,completed,male,some college,standard,Section E,58,65,48
EXA013407,completed,female,master's degree,standard,Section C,61,56,74
EXA013408,none,male,some high school,standard,Section C,82,89,64
EXA013409,completed,female,high school,standard,Section D,73,52,72
EXA013410,none,female,some high school,standard,Section D,52,63,70
EXA013411,none,male,some high school,standard,Section D,33,67,44
EXA013412,completed,male,associate's degree,free/reduced,Section D,67,83,75
EXA013413,none,male,high school,standard,Section C,61,74,57
EXA013414,none,female,high school,standard,Section E,86,68,86
EXA013415,none,female,associate's degree,free/reduced,Section D,98,91,59
EXA013416,none,male,associate's degree,standard,Section D,72,58,70
EXA013417,none,female,some college,standard,Section A,60,71,38
EXA013418,none,female,some high school,standard,Section E,66,73,69
EXA013419,completed,male,associate's degree,free/reduced,Section C,86,59,56
EXA013420,none,male,high school,free/reduced,Section E,45,71,40
EXA013421,none,female,associate's degree,standard,Section D,75,76,52
EXA013422,completed,female,master's degree,standard,Section C,51,74,60
EXA013423,completed,female,associate's degree,free/reduced,Section C,21,97,70
EXA013424,none,female,high school,free/reduced,Section A,54,87,60
EXA013425,none,male,some high school,free/reduced,Section D,83,68,53
EXA013426,completed,female,some college,standard,Section B,74,70,57
EXA013427,none,male,associate's degree,standard,Section E,73,69,96
EXA013428,completed,male,some high school,free/reduced,Section D,69,46,50
EXA013429,none,male,associate's degree,free/reduced,Section C,81,68,68
EXA013430,none,female,associate's degree,free/reduced,Section D,95,98,79
EXA013431,none,female,associate's degree,free/reduced,Section C,97,72,81
EXA013432,none,female,some high school,standard,Section D,62,72,62
EXA013433,completed,female,some college,standard,Section E,63,61,72
EXA013434,completed,female,some high school,free/reduced,Section D,50,78,84
EXA013435,none,male,high school,free/reduced,Section B,25,91,57
EXA013436,completed,female,some college,free/reduced,Section B,73,89,66
